Date(YearMonth):,,2008,,,
Parameters,,Red D105,Red D130,Blue 1st Order,Blue 2nd Order
g0,,0.117155379286367000000000000000,0.117144368035120000000000000000,0.082656701749438000000000000000,0.082658131844654000000000000000
NP,,14.288560187924000000000000000000,14.295433735415000000000000000000,13.488002530055600000000000000000,14.203962274464200000000000000000
a,,426.591097095320000000000000000000,426.919047758710000000000000000000,799.922058086866000000000000000000,765.696982282724000000000000000000
ISF,,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000
gamma,,0.016720000411713000000000000000,0.016720000075524000000000000000,0.008900800008086000000000000000,0.008900800250682000000000000000
PS,,0.000587762007897981000000000000,0.000586762697238563000000000000,0.000548775559003833000000000000,0.000558983621705611000000000000
QOFF,,5.747153383689840000000000000000,6.096206785408460000000000000000,6.942111603308100000000000000000,6.456275945009410000000000000000
QS,,0.000001404759287688650000000000,0.000001552356789644470000000000,0.000011437873567366300000000000,0.000007347665965401490000000000
ISOFF,1,1150786.535327310000000000000000000000,1151136.270036570000000000000000000000,1075568.922645030000000000000000000000,1075530.787524830000000000000000000000
,2,1150937.577597680000000000000000000000,1151277.312074070000000000000000000000,1075379.165588910000000000000000000000,1075414.071631530000000000000000000000
,3,1151102.407325090000000000000000000000,1151432.555331850000000000000000000000,1075383.703979300000000000000000000000,1075443.061364660000000000000000000000
,4,1151260.275143630000000000000000000000,1151603.452178540000000000000000000000,1075406.958437740000000000000000000000,1075455.625289070000000000000000000000
,5,1151461.205452910000000000000000000000,1151797.410228370000000000000000000000,1075162.457946090000000000000000000000,1075173.007067340000000000000000000000
,6,1150158.485255620000000000000000000000,1150515.030184990000000000000000000000,1075227.264588990000000000000000000000,1075209.250349330000000000000000000000
,7,1150215.382325160000000000000000000000,1150558.594584810000000000000000000000,1075078.552351800000000000000000000000,1075119.437618110000000000000000000000
,8,1150312.166946390000000000000000000000,1150656.911996080000000000000000000000,1075098.729597590000000000000000000000,1075145.591096530000000000000000000000
,9,1150396.924913580000000000000000000000,1150748.702798350000000000000000000000,1075096.975162190000000000000000000000,1075149.897924670000000000000000000000
,10,1150580.951641160000000000000000000000,1150909.271378710000000000000000000000,1074904.802926660000000000000000000000,1074915.603674890000000000000000000000
,11,1149779.613714330000000000000000000000,1150134.140791380000000000000000000000,1075096.498057590000000000000000000000,1075088.306254620000000000000000000000
,12,1149773.789613340000000000000000000000,1150118.756637460000000000000000000000,1074962.827012770000000000000000000000,1074994.306815430000000000000000000000
,13,1149789.250072820000000000000000000000,1150140.587409260000000000000000000000,1074915.888072390000000000000000000000,1074968.761740230000000000000000000000
,14,1149802.593190880000000000000000000000,1150160.973104050000000000000000000000,1074934.353158750000000000000000000000,1074984.163454210000000000000000000000
,15,1149986.710207870000000000000000000000,1150302.787596750000000000000000000000,1074791.633321080000000000000000000000,1074798.499695880000000000000000000000
,16,1150031.268119120000000000000000000000,1150370.198611750000000000000000000000,1075066.911735190000000000000000000000,1075090.572874430000000000000000000000
,17,1149918.542178570000000000000000000000,1150258.624850560000000000000000000000,1074931.220363510000000000000000000000,1074990.015959730000000000000000000000
,18,1149858.005654160000000000000000000000,1150203.750804040000000000000000000000,1074908.044319550000000000000000000000,1074962.508371950000000000000000000000
,19,1149788.721787680000000000000000000000,1150143.350860810000000000000000000000,1074905.896753100000000000000000000000,1074942.337207650000000000000000000000
,20,1149978.801363910000000000000000000000,1150288.035351360000000000000000000000,1074744.456342460000000000000000000000,1074742.871701540000000000000000000000
,21,1150722.787027570000000000000000000000,1151056.117188450000000000000000000000,1075341.453207350000000000000000000000,1075388.696320650000000000000000000000
,22,1150565.813407940000000000000000000000,1150896.707508670000000000000000000000,1075173.945919290000000000000000000000,1075241.941781470000000000000000000000
,23,1150413.545520710000000000000000000000,1150750.528913750000000000000000000000,1075103.823100380000000000000000000000,1075181.012622820000000000000000000000
,24,1150272.913638560000000000000000000000,1150619.745556790000000000000000000000,1075095.704949960000000000000000000000,1075154.847708940000000000000000000000
,25,1150465.547086480000000000000000000000,1150751.891680840000000000000000000000,1074910.708615470000000000000000000000,1074925.029432830000000000000000000000